1 2 3 4
1 2 5 8
1 2 6 9
1 2 10 11
1 2 12 22
1 2 13 21
1 2 14 26
1 2 15 27
1 2 16 25
1 2 17 23
1 2 18 24
1 2 19 20
1 3 6 8
1 3 7 9
1 3 10 12
1 3 11 22
1 3 13 20
1 3 14 23
1 3 15 26
1 3 16 27
1 3 17 24
1 3 18 25
1 3 19 21
1 4 5 9
1 4 7 8
1 4 10 13
1 4 11 21
1 4 12 20
1 4 14 27
1 4 15 24
1 4 16 26
1 4 17 25
1 4 18 23
1 4 19 22
1 5 6 7
1 5 10 14
1 5 11 26
1 5 12 21
1 5 13 27
1 5 15 25
1 5 16 24
1 5 17 20
1 5 18 22
1 5 19 23
1 6 10 15
1 6 11 27
1 6 12 26
1 6 13 22
1 6 14 25
1 6 16 23
1 6 17 21
1 6 18 20
1 6 19 24
1 7 10 16
1 7 11 20
1 7 12 27
1 7 13 26
1 7 14 24
1 7 15 23
1 7 17 22
1 7 18 21
1 7 19 25
1 8 10 17
1 8 11 23
1 8 12 24
1 8 13 25
1 8 14 20
1 8 15 21
1 8 16 22
1 8 18 27
1 8 19 26
1 9 10 18
1 9 11 24
1 9 12 25
1 9 13 23
1 9 14 22
1 9 15 20
1 9 16 21
1 9 17 26
1 9 19 27
1 10 20 25
1 10 21 23
1 10 22 24
1 10 26 27
1 11 12 13
1 11 14 17
1 11 15 18
1 11 16 19
1 12 14 19
1 12 15 17
1 12 16 18
1 13 14 18
1 13 15 19
1 13 16 17
1 14 15 16
1 17 18 19
1 20 21 22
1 20 23 26
1 20 24 27
1 21 24 26
1 21 25 27
1 22 23 27
1 22 25 26
1 23 24 25
2 3 5 6
2 3 7 8
2 3 10 22
2 3 11 12
2 3 13 19
2 3 14 24
2 3 15 23
2 3 16 26
2 3 17 25
2 3 18 27
2 3 20 21
2 4 6 7
2 4 8 9
2 4 10 21
2 4 11 13
2 4 12 19
2 4 14 23
2 4 15 25
2 4 16 24
2 4 17 27
2 4 18 26
2 4 20 22
2 5 7 9
2 5 10 26
2 5 11 14
2 5 12 24
2 5 13 22
2 5 15 21
2 5 16 27
2 5 17 19
2 5 18 25
2 5 20 23
2 6 10 27
2 6 11 15
2 6 12 23
2 6 13 25
2 6 14 21
2 6 16 22
2 6 17 26
2 6 18 19
2 6 20 24
2 7 10 19
2 7 11 16
2 7 12 26
2 7 13 24
2 7 14 27
2 7 15 22
2 7 17 21
2 7 18 23
2 7 20 25
2 8 10 23
2 8 11 17
2 8 12 25
2 8 13 27
2 8 14 19
2 8 15 24
2 8 16 21
2 8 18 22
2 8 20 26
2 9 10 24
2 9 11 18
2 9 12 21
2 9 13 26
2 9 14 25
2 9 15 19
2 9 16 23
2 9 17 22
2 9 20 27
2 10 12 13
2 10 14 17
2 10 15 18
2 10 16 20
2 11 19 25
2 11 21 27
2 11 22 23
2 11 24 26
2 12 14 15
2 12 16 17
2 12 18 20
2 13 14 20
2 13 15 16
2 13 17 18
2 14 16 18
2 15 17 20
2 19 21 22
2 19 23 26
2 19 24 27
2 21 23 24
2 21 25 26
2 22 24 25
2 22 26 27
2 23 25 27
3 4 5 7
3 4 6 9
3 4 10 20
3 4 11 19
3 4 12 13
3 4 14 25
3 4 15 27
3 4 16 23
3 4 17 26
3 4 18 24
3 4 21 22
3 5 8 9
3 5 10 19
3 5 11 24
3 5 12 14
3 5 13 25
3 5 15 20
3 5 16 22
3 5 17 27
3 5 18 26
3 5 21 23
3 6 10 26
3 6 11 23
3 6 12 15
3 6 13 27
3 6 14 20
3 6 16 25
3 6 17 19
3 6 18 22
3 6 21 24
3 7 10 27
3 7 11 26
3 7 12 16
3 7 13 23
3 7 14 22
3 7 15 24
3 7 17 20
3 7 18 19
3 7 21 25
3 8 10 24
3 8 11 25
3 8 12 17
3 8 13 22
3 8 14 27
3 8 15 19
3 8 16 20
3 8 18 23
3 8 21 26
3 9 10 25
3 9 11 20
3 9 12 18
3 9 13 24
3 9 14 26
3 9 15 22
3 9 16 19
3 9 17 23
3 9 21 27
3 10 11 13
3 10 14 21
3 10 15 17
3 10 16 18
3 11 14 15
3 11 16 17
3 11 18 21
3 12 19 23
3 12 20 27
3 12 22 26
3 12 24 25
3 13 14 16
3 13 15 18
3 13 17 21
3 14 17 18
3 15 16 21
3 19 20 22
3 19 24 26
3 19 25 27
3 20 23 24
3 20 25 26
3 22 23 25
3 22 24 27
3 23 26 27
4 5 6 8
4 5 10 27
4 5 11 20
4 5 12 25
4 5 13 14
4 5 15 26
4 5 16 21
4 5 17 24
4 5 18 19
4 5 22 23
4 6 10 19
4 6 11 25
4 6 12 27
4 6 13 15
4 6 14 26
4 6 16 20
4 6 17 23
4 6 18 21
4 6 22 24
4 7 10 26
4 7 11 24
4 7 12 23
4 7 13 16
4 7 14 21
4 7 15 20
4 7 17 19
4 7 18 27
4 7 22 25
4 8 10 25
4 8 11 27
4 8 12 21
4 8 13 17
4 8 14 24
4 8 15 23
4 8 16 19
4 8 18 20
4 8 22 26
4 9 10 23
4 9 11 26
4 9 12 24
4 9 13 18
4 9 14 19
4 9 15 21
4 9 16 25
4 9 17 20
4 9 22 27
4 10 11 12
4 10 14 18
4 10 15 22
4 10 16 17
4 11 14 22
4 11 15 16
4 11 17 18
4 12 14 16
4 12 15 18
4 12 17 22
4 13 19 24
4 13 20 23
4 13 21 26
4 13 25 27
4 14 15 17
4 16 18 22
4 19 20 21
4 19 23 27
4 19 25 26
4 20 24 25
4 20 26 27
4 21 23 25
4 21 24 27
4 23 24 26
5 6 10 25
5 6 11 21
5 6 12 20
5 6 13 26
5 6 14 15
5 6 16 19
5 6 17 22
5 6 18 27
5 6 23 24
5 7 10 24
5 7 11 27
5 7 12 22
5 7 13 21
5 7 14 16
5 7 15 19
5 7 17 26
5 7 18 20
5 7 23 25
5 8 10 20
5 8 11 19
5 8 12 27
5 8 13 24
5 8 14 17
5 8 15 22
5 8 16 25
5 8 18 21
5 8 23 26
5 9 10 22
5 9 11 25
5 9 12 26
5 9 13 19
5 9 14 18
5 9 15 24
5 9 16 20
5 9 17 21
5 9 23 27
5 10 11 17
5 10 12 23
5 10 13 18
5 10 15 16
5 11 12 15
5 11 13 23
5 11 16 18
5 12 13 16
5 12 17 18
5 13 15 17
5 14 19 21
5 14 20 22
5 14 24 27
5 14 25 26
5 15 18 23
5 16 17 23
5 19 20 26
5 19 22 27
5 19 24 25
5 20 21 24
5 20 25 27
5 21 22 25
5 21 26 27
5 22 24 26
6 7 8 9
6 7 10 23
6 7 11 22
6 7 12 21
6 7 13 20
6 7 14 19
6 7 15 16
6 7 17 27
6 7 18 26
6 7 24 25
6 8 10 21
6 8 11 20
6 8 12 19
6 8 13 23
6 8 14 22
6 8 15 17
6 8 16 27
6 8 18 25
6 8 24 26
6 9 10 20
6 9 11 19
6 9 12 22
6 9 13 21
6 9 14 23
6 9 15 18
6 9 16 26
6 9 17 25
6 9 24 27
6 10 11 18
6 10 12 17
6 10 13 24
6 10 14 16
6 11 12 14
6 11 13 16
6 11 17 24
6 12 13 18
6 12 16 24
6 13 14 17
6 14 18 24
6 15 19 22
6 15 20 26
6 15 21 25
6 15 23 27
6 16 17 18
6 19 20 27
6 19 21 26
6 19 23 25
6 20 21 23
6 20 22 25
6 21 22 27
6 22 23 26
6 25 26 27
7 8 10 22
7 8 11 21
7 8 12 20
7 8 13 19
7 8 14 23
7 8 15 27
7 8 16 17
7 8 18 24
7 8 25 26
7 9 10 21
7 9 11 23
7 9 12 19
7 9 13 22
7 9 14 20
7 9 15 26
7 9 16 18
7 9 17 24
7 9 25 27
7 10 11 25
7 10 12 18
7 10 13 17
7 10 14 15
7 11 12 17
7 11 13 15
7 11 14 18
7 12 13 14
7 12 15 25
7 13 18 25
7 14 17 25
7 15 17 18
7 16 19 20
7 16 21 24
7 16 22 27
7 16 23 26
7 19 21 27
7 19 22 26
7 19 23 24
7 20 21 26
7 20 22 24
7 20 23 27
7 21 22 23
7 24 26 27
8 9 10 19
8 9 11 22
8 9 12 23
8 9 13 20
8 9 14 21
8 9 15 25
8 9 16 24
8 9 17 18
8 9 26 27
8 10 11 14
8 10 12 15
8 10 13 16
8 10 18 26
8 11 12 16
8 11 13 18
8 11 15 26
8 12 13 26
8 12 14 18
8 13 14 15
8 14 16 26
8 15 16 18
8 17 19 27
8 17 20 24
8 17 21 22
8 17 23 25
8 19 20 23
8 19 21 24
8 19 22 25
8 20 21 25
8 20 22 27
8 21 23 27
8 22 23 24
8 24 25 27
9 10 11 15
9 10 12 16
9 10 13 14
9 10 17 27
9 11 12 27
9 11 13 17
9 11 14 16
9 12 13 15
9 12 14 17
9 13 16 27
9 14 15 27
9 15 16 17
9 18 19 26
9 18 20 21
9 18 22 25
9 18 23 24
9 19 20 24
9 19 21 25
9 19 22 23
9 20 22 26
9 20 23 25
9 21 22 24
9 21 23 26
9 24 25 26
10 11 19 20
10 11 21 22
10 11 23 26
10 11 24 27
10 12 19 21
10 12 20 22
10 12 24 26
10 12 25 27
10 13 19 22
10 13 20 21
10 13 23 27
10 13 25 26
10 14 19 23
10 14 20 26
10 14 22 27
10 14 24 25
10 15 19 24
10 15 20 27
10 15 21 26
10 15 23 25
10 16 19 25
10 16 21 27
10 16 22 26
10 16 23 24
10 17 19 26
